ID,price
845,2304207.541840082
1924,1208611.286947422
10718,1335488.1641565072
12076,7794202.640140051
12254,1970903.7355395167
9950,2601667.5110228425
1548,2564553.2809290844
526,1459865.8952073045
6776,1349601.9082695225
1851,1606203.124833751
9188,1849632.243768266
3382,2893717.6371468194
242,2583993.317495829
6439,2046587.7144621431
1561,2577940.288704548
5339,2563265.3746892526
7387,2059683.421345501
11576,1634440.5453968772
5984,4801602.262217737
4486,1927012.939952572
2205,1246962.2478663628
3468,1390416.733055377
4226,2475509.6430146843
2088,2291022.4112933846
2118,2728988.632450461
8036,1555084.893600633
23,1307267.6104176159
1898,1959395.2057461091
6976,2779578.3543507545
1465,2904801.286423844
2040,1615214.4190627434
482,1193951.572539633
5122,1764160.3881989196
3447,1454400.3432655232
12877,2194238.742586099
3780,1434813.215600661
1285,1725407.648830868
9200,2093085.2422597627
921,2967914.36974945
3060,2727104.361967221
1082,1291760.0409784997
71,2694366.2743374566
4464,2069778.876509345
4576,3239211.950943119
897,3064155.8538578977
1756,1319232.4367605057
8745,2732272.225107576
806,1697792.413001089
803,1674600.0181154264
7613,1473261.724843602
243,1480978.9728511479
8135,1338718.0729571218
1527,2327399.936725745
2825,1374245.8179737353
666,1208611.286947422
12028,1589818.2405121191
2308,1906246.6185423145
11223,1535940.8081592678
1479,1208611.286947422
2057,2413730.443336121
2368,1505267.3267431003
7638,2553505.0730072437
432,2072974.1476821986
9800,1346731.403073737
2140,3242349.7212907346
837,1970721.3415995163
3227,1908750.9205262768
12412,2675621.1105449535
10267,1485268.753921227
3850,3468124.26198092
382,4420656.278262475
1280,2364222.684575106
2226,4772278.81656573
4166,2912626.2996803005
5208,2779789.317190845
4513,1623032.9598672686
10814,2990984.0062487167
3120,2806981.9850172857
7915,1790404.2741201462
3513,2102955.1302289795
9041,1507701.5994676172
561,1476555.052467077
11041,2617177.7700156714
2920,2615193.936368591
2042,1162034.66374657
10220,1984218.7890391022
11511,1707151.7887059383
8424,2587721.613233251
5801,3153509.311886398
10746,1411817.097008508
11018,1347588.4766986375
816,1061935.7028967482
10413,1555125.1317866466
4471,2940162.9608006645
1928,2136603.2819532426
